udp.stream,dns.id,dns.qry.name
0,0x00009954,clients1.google.com
1,0x000079b6,clients1.google.com
2,0x00009954,clients1.google.com
1,0x000079b6,clients1.google.com
3,0x000075f6,ac.duckduckgo.com
4,0x00006554,ac.duckduckgo.com
7,0x0000aea0,duckduckgo.com
8,0x00006c91,www.instagram.com
9,0x0000a52e,www.instagram.com
10,0x0000a52e,www.instagram.com
11,0x00003dac,connect.facebook.net
12,0x00005175,connect.facebook.net
13,0x00007033,graph.instagram.com
14,0x00009d3c,graph.instagram.com
15,0x00000a47,music.youtube.com
16,0x000030fe,music.youtube.com
17,0x0000f6fd,fonts.googleapis.com
18,0x00001f28,fonts.googleapis.com
19,0x0000939a,s.ytimg.com
20,0x000052a5,s.ytimg.com
21,0x0000c54e,fonts.gstatic.com
22,0x0000fb71,fonts.gstatic.com
23,0x00005883,incoming.telemetry.mozilla.org
24,0x00005883,incoming.telemetry.mozilla.org
25,0x0000cc6a,ssl.gstatic.com
26,0x00003ebe,ssl.gstatic.com
27,0x000023a6,lh3.googleusercontent.com
28,0x00008453,lh3.googleusercontent.com
29,0x0000cc6a,ssl.gstatic.com
28,0x00008453,lh3.googleusercontent.com
30,0x000023a6,lh3.googleusercontent.com
26,0x00003ebe,ssl.gstatic.com
31,0x0000529e,github.com
32,0x0000502a,github.com
33,0x00004761,github.githubassets.com
34,0x00007490,github.githubassets.com
35,0x000061f3,avatars3.githubusercontent.com
36,0x0000a25e,avatars0.githubusercontent.com
37,0x000017b8,avatars0.githubusercontent.com
38,0x000017b8,avatars0.githubusercontent.com
36,0x0000a25e,avatars0.githubusercontent.com
39,0x000020a7,avatars3.githubusercontent.com
40,0x0000f543,github.map.fastly.net
41,0x0000fa07,live.github.com
42,0x0000833c,live.github.com
43,0x0000e806,www.google-analytics.com
44,0x0000dfe6,www.google-analytics.com
45,0x0000bee8,github.map.fastly.net
46,0x0000833c,live.github.com
41,0x0000fa07,live.github.com
47,0x0000e806,www.google-analytics.com
44,0x0000dfe6,www.google-analytics.com
46,0x0000833c,live.github.com
48,0x0000cf3f,live.github.com
49,0x00005a29,collector.githubapp.com
50,0x00000bcc,collector.githubapp.com
51,0x00005a29,collector.githubapp.com
50,0x00000bcc,collector.githubapp.com
52,0x0000dfec,analytics-collector-28944298.us-east-1.elb.amazonaws.com
53,0x00008861,avatars1.githubusercontent.com
54,0x00007be3,avatars2.githubusercontent.com
55,0x00002cd4,avatars2.githubusercontent.com
56,0x0000db92,api.github.com
57,0x0000dadf,api.github.com
58,0x0000f149,github.map.fastly.net
59,0x00007660,live.github.com
60,0x0000dadf,api.github.com
61,0x000068fe,live.github.com
